date,barrels,fatalities,cost,price,next_day_price,next_week_price,next_day,next_week
2010-01-04,0.0,,4008,79.05,79.27,80.14,1,1
2010-01-05,2.0,,200,79.27,80.14,79.38,1,1
2010-01-06,0.0,,11540,80.14,80.57,77.57,1,0
2010-01-07,2.0,,29650,80.57,80.06,77.61,0,0
2010-01-08,2237.0,,4194715,80.06,80.14,76.85,1,0
2010-01-09,5.0,,70400,80.06,80.14,75.18,1,0
2010-01-09,0.24,,413,80.06,80.14,75.18,1,0
2010-01-10,0.0,,40336,80.06,80.14,75.18,1,0
2010-01-11,0.0,,30050,80.14,79.38,75.18,0,0
2010-01-11,2237.0,,165593,80.14,79.38,75.18,0,0
2010-01-11,0.0,,357269,80.14,79.38,75.18,0,0
2010-01-11,1.0,,12150,80.14,79.38,75.18,0,0
2010-01-11,2.0,,37850,80.14,79.38,75.18,0,0
2010-01-12,0.0,,20333,79.38,77.57,75.18,0,0
2010-01-12,0.0,,32500,79.38,77.57,75.18,0,0
2010-01-12,445.0,,2517615,79.38,77.57,75.18,0,0
2010-01-13,3.49,,254,77.57,77.61,75.09,1,0
2010-01-13,0.0,,30504,77.57,77.61,75.09,1,0
2010-01-13,0.48,,66679,77.57,77.61,75.09,1,0
2010-01-14,0.04,,75017,77.61,76.85,74.13,0,0
2010-01-15,0.0,,4575000,76.85,75.18,72.73,0,0
2010-01-15,3.0,,3880,76.85,75.18,72.73,0,0
2010-01-18,2.0,,1100,76.85,75.18,72.18,0,0
2010-01-19,0.89,,26000,75.18,75.09,72.63,0,0
2010-01-19,1.0,,46185,75.18,75.09,72.63,0,0
2010-01-21,0.0,,7807,74.13,72.73,70.65,0,0
2010-01-21,0.0,,200570,74.13,72.73,70.65,0,0
2010-01-21,0.0,,2800,74.13,72.73,70.65,0,0
2010-01-22,0.0,,8867,72.73,72.18,71.2,0,0
2010-01-24,1.0,,2100,72.73,72.18,71.58,0,0
2010-01-25,0.0,,667000,72.18,72.63,71.58,1,0
2010-01-27,0.6,,60065,72.75,70.65,75.77,0,1
2010-01-28,7.0,,11170,70.65,71.2,71.3,1,1
2010-02-02,5.0,,6500,73.94,75.77,70.4,1,0
2010-02-04,0.05,,4521,71.3,70.11,72.35,0,1
2010-02-06,1.33,,4800,70.11,69.62,74.82,0,1
2010-02-08,5.0,,380400,69.62,70.4,74.82,1,1
2010-02-09,0.0,,950,70.4,70.4,74.82,1,1
2010-02-09,0.0,,5377,70.4,70.4,74.82,1,1
2010-02-16,0.0,,30515,74.82,74.89,76.44,1,1
2010-02-17,0.0,,1514,74.89,76.61,77.0,1,1
2010-02-19,0.0,,17100,76.88,76.95,76.36,1,0
2010-02-20,2.0,,93513,76.88,76.95,76.07,1,0
2010-02-21,0.0,,17485,76.88,76.95,76.07,1,0
2010-02-22,1.0,,26860,76.95,76.44,76.07,0,0
2010-02-22,0.71,,8790,76.95,76.44,76.07,0,0
2010-02-23,28.0,,129007,76.44,77.0,77.5,1,1
2010-02-25,13718.0,,1599786,74.38,76.36,77.88,1,1
2010-02-25,0.0,,15950,74.38,76.36,77.88,1,1
2010-03-01,2.0,,16018,76.07,77.5,78.94,1,1
2010-03-01,0.0,,19080,76.07,77.5,78.94,1,1
2010-03-01,2.99,,3510,76.07,77.5,78.94,1,1
2010-03-03,0.5,,773,78.66,77.88,80.29,0,1
2010-03-04,0.8,,65000,77.88,79.2,79.44,1,1
2010-03-04,0.31,,13594,77.88,79.2,79.44,1,1
2010-03-08,1.0,,11287,78.94,78.77,77.08,0,0
2010-03-08,93.0,,85620,78.94,78.77,77.08,0,0
2010-03-09,0.5,,5039,78.77,80.29,79.45,1,1
2010-03-09,0.95,,26064,78.77,80.29,79.45,1,1
2010-03-11,0.0,,8060,79.44,79.38,80.09,0,1
2010-03-14,70.0,,511550,79.38,77.08,78.09,0,0
2010-03-15,0.12,,765,77.08,79.45,78.09,1,1
2010-03-15,0.0,,1160,77.08,79.45,78.09,1,1
2010-03-15,0.6,,11497,77.08,79.45,78.09,1,1
2010-03-16,42.88,,480000,79.45,80.28,79.17,1,0
2010-03-18,0.0,,54000,80.09,78.37,78.64,0,0
2010-03-20,0.0,,16800,78.37,78.09,79.89,0,1
2010-03-21,0.0,,158500,78.37,78.09,79.89,0,1
2010-03-22,0.0,,106030,78.09,79.17,79.89,1,1
2010-03-23,0.0,,4773,79.17,78.03,79.46,0,1
2010-03-23,0.0,,3520,79.17,78.03,79.46,0,1
2010-03-24,0.0,,1350,78.03,78.64,80.37,1,1
2010-03-24,0.0,,4215,78.03,78.64,80.37,1,1
2010-03-25,1.0,,100000,78.64,77.98,82.63,0,1
2010-03-25,5.7,,2201260,78.64,77.98,82.63,0,1
2010-03-26,0.11,,30058,77.98,79.89,84.48,1,1
2010-03-27,95.0,,437000,77.98,79.89,84.48,1,1
2010-03-29,0.0,,16130,79.89,79.46,84.48,0,1
2010-03-29,0.0,,115290,79.89,79.46,84.48,0,1
2010-03-30,656.0,,110600,79.46,80.37,85.05,1,1
2010-03-31,0.0,,123396,80.37,82.63,84.49,1,1
2010-04-03,0.0,,189240,82.63,84.48,85.21,1,1
2010-04-05,0.0,,8012,84.48,85.05,85.21,1,1
2010-04-05,0.0,,4000000,84.48,85.05,85.21,1,1
2010-04-05,0.0,,7815,84.48,85.05,85.21,1,1
2010-04-05,215.0,,13933600,84.48,85.05,85.21,1,1
2010-04-07,0.0,,100504,84.49,82.63,85.81,0,1
2010-04-07,0.0,,36590,84.49,82.63,85.81,0,1
2010-04-08,0.17,,27,82.63,82.77,86.9,1,1
2010-04-09,0.0,,1780,82.77,85.21,84.81,1,1
2010-04-10,0.02,,167904,82.77,85.21,83.09,1,1
2010-04-12,0.0,,31019,85.21,83.44,83.09,0,0
2010-04-13,0.0,,35229,83.44,85.81,84.73,1,1
2010-04-13,0.0,,102969,83.44,85.81,84.73,1,1
2010-04-14,0.0,,5086,85.81,86.9,84.55,1,0
2010-04-15,0.0,,20300,86.9,84.81,84.58,0,0
2010-04-16,0.0,,5000,84.81,83.09,86.09,0,1
2010-04-16,0.12,,2509,84.81,83.09,86.09,0,1
2010-04-17,1.0,,966350,84.81,83.09,86.72,0,1
2010-04-20,0.0,,142675,84.73,84.55,85.59,0,1
2010-04-23,1659.0,,575409,86.09,86.72,86.19,1,1
2010-04-24,0.0,,47284,86.09,86.72,88.09,1,1
2010-04-25,12.0,,1103967,86.09,86.72,88.09,1,1
2010-04-26,0.75,,13110,86.72,85.59,88.09,0,1
2010-04-26,1.0,,92856,86.72,85.59,88.09,0,1
2010-04-26,2.0,,117653,86.72,85.59,88.09,0,1
2010-04-26,0.0,,28880,86.72,85.59,88.09,0,1
2010-04-27,0.1,,78188,85.59,84.59,85.39,0,0
2010-04-28,0.6,,4575,84.59,86.82,82.31,1,0
2010-04-28,0.36,,32030,84.59,86.82,82.31,1,0
2010-04-29,770.0,,93627,86.82,86.19,80.21,0,0
2010-04-29,0.0,,23607,86.82,86.19,80.21,0,0
2010-04-30,0.05,,1800,86.19,88.09,76.48,1,0
2010-05-04,0.0,,18375,85.39,82.31,79.0,0,0
2010-05-07,0.0,,39518,76.48,78.08,76.43,1,0
2010-05-10,0.0,,5100,78.08,79.0,73.87,1,0
2010-05-10,1.52,,51100,78.08,79.0,73.87,1,0
2010-05-12,0.53,,823,78.7,79.41,71.86,1,0
2010-05-16,0.0,,11375,76.43,73.87,69.62,0,0
2010-05-16,0.0,,1879337,76.43,73.87,69.62,0,0
2010-05-16,1.0,,23575,76.43,73.87,69.62,0,0
2010-05-16,1.0,,194586,76.43,73.87,69.62,0,0
2010-05-17,0.5,,1400,73.87,75.12,69.62,1,0
2010-05-19,1.0,,6868,71.86,69.56,70.59,0,0
2010-05-19,0.36,,20050,71.86,69.56,70.59,0,0
2010-05-20,4.1,,70000,69.56,70.45,73.56,1,1
2010-05-20,0.0,,305195,69.56,70.45,73.56,1,1
2010-05-20,0.12,,11012,69.56,70.45,73.56,1,1
2010-05-20,0.0,,1053057,69.56,70.45,73.56,1,1
2010-05-21,0.11,,207508,70.45,69.62,73.0,0,1
2010-05-23,0.0,,9965,70.45,69.62,73.08,0,1
2010-05-24,0.0,,25500,69.62,67.18,73.08,0,1
2010-05-25,1119.0,,28938000,67.18,70.59,73.08,1,1
2010-05-26,4.1,,5066,70.59,73.56,72.78,1,1
2010-05-27,1.31,,5220,73.56,73.0,73.12,0,0
2010-05-27,5.0,,11700,73.56,73.0,73.12,0,0
2010-05-27,0.36,,9499,73.56,73.0,73.12,0,0
2010-05-27,1.0,,4765,73.56,73.0,73.12,0,0
2010-05-27,0.0,,5000,73.56,73.0,73.12,0,0
2010-05-29,1120.0,,1965246,73.0,73.08,71.09,1,0
2010-05-29,0.25,,150,73.0,73.08,71.09,1,0
2010-05-29,0.0,,71000,73.0,73.08,71.09,1,0
2010-05-31,0.0,,22058,73.0,73.08,71.09,1,0
2010-06-01,8.0,,150000,73.08,72.78,71.43,0,0
2010-06-01,1.0,,150,73.08,72.78,71.43,0,0
2010-06-03,4618.0,,304262,73.12,71.84,74.33,0,1
2010-06-03,11.0,,1854,73.12,71.84,74.33,0,1
2010-06-04,1.9,,13741,71.84,71.09,73.28,0,1
2010-06-05,0.0,,150758,71.84,71.09,75.11,0,1
2010-06-07,0.0,,10070,71.09,71.43,75.11,1,1
2010-06-07,0.0,,287064,71.09,71.43,75.11,1,1
2010-06-08,10.7,,784,71.43,73.68,75.29,1,1
2010-06-08,0.0,,330000,71.43,73.68,75.29,1,1
2010-06-08,0.01,,76269,71.43,73.68,75.29,1,1
2010-06-09,9.52,,26885,73.68,74.33,76.12,1,1
2010-06-09,3.0,,16534,73.68,74.33,76.12,1,1
2010-06-10,0.5,,2536,74.33,73.28,77.52,0,1
2010-06-11,0.12,,7500,73.28,75.11,77.05,1,1
2010-06-11,0.0,,26581,73.28,75.11,77.05,1,1
2010-06-12,22.0,,32233740,73.28,75.11,78.53,1,1
2010-06-12,2.0,,10180,73.28,75.11,78.53,1,1
2010-06-14,0.88,,11598,75.11,75.29,78.53,1,1
2010-06-14,5.0,,45375,75.11,75.29,78.53,1,1
2010-06-16,0.19,,0,76.12,77.52,75.22,1,0
2010-06-16,0.14,,5011,76.12,77.52,75.22,1,0
2010-06-23,0.0,,30417,75.22,75.17,74.94,0,0
2010-06-23,0.24,,79030,75.22,75.17,74.94,0,0
2010-06-23,0.0,,42797,75.22,75.17,74.94,0,0
2010-06-25,2.0,,22412,76.21,76.66,71.75,1,0
2010-06-28,0.0,,135000,76.66,74.21,73.08,0,0
2010-06-30,36.14,,807094,74.94,71.73,72.97,0,0
2010-06-30,2.0,,68152,74.94,71.73,72.97,0,0
2010-07-02,0.0,,137000,71.75,73.08,75.2,1,1
2010-07-02,0.52,,1036940,71.75,73.08,75.2,1,1
2010-07-04,0.4,,29411,71.75,73.08,74.35,1,1
2010-07-05,3104.0,1.0,524275,71.75,73.08,74.35,1,1
2010-07-06,0.0,,13900,73.08,72.97,76.45,0,1
2010-07-06,0.5,,2280,73.08,72.97,76.45,0,1
2010-07-07,1.5,,6250,72.97,74.56,76.63,1,1
2010-07-08,7.52,,261317,74.56,75.2,75.52,1,1
2010-07-11,6.0,,43361,75.2,74.35,76.29,0,1
2010-07-12,0.0,,10035,74.35,76.45,76.29,1,1
2010-07-12,0.0,,5300,74.35,76.45,76.29,1,1
2010-07-14,1.5,,49,76.63,75.52,75.75,0,0
2010-07-14,33.8,,1294,76.63,75.52,75.75,0,0
