date,Total North America,Total S. & Cent. America,Total Europe,Total CIS,Total Middle East,Total Africa,Total Asia Pacific,Total World
1965,10296,4334,786,4858,8387,2232,899,31792
1966,10961,4291,798,5302,9364,2842,1002,34561
1967,11736,4571,824,5762,10014,3133,1063,37104
1968,12233,4682,834,6167,11256,4007,1240,40418
1969,12595,4702,847,6566,12420,5087,1432,43649
1970,13257,4829,847,7127,13922,6113,1979,48075
1971,13224,4723,841,7610,16306,5694,2387,50785
1972,13520,4494,871,8064,18089,5712,2804,53554
1973,13585,4792,880,8664,21274,6000,3356,58552
1974,13107,4369,888,9270,21941,5517,3578,58671
1975,12549,3697,1072,9916,19701,5068,3808,55811
1976,12228,3659,1372,10466,22352,6028,4335,60440
1977,12556,3640,1917,11010,22530,6340,4748,62740
1978,13198,3648,2306,11531,21475,6189,4975,63322
1979,13578,3902,2848,11805,22021,6801,5113,66067
1980,14063,3747,2980,12116,18872,6219,4946,62942
1981,14344,3725,3149,12260,16181,4961,4907,59527
1982,14790,3571,3518,12330,13460,4786,4817,57271
1983,14838,3539,3955,12403,11839,4845,5174,56592
1984,15226,3720,4279,12297,11264,5164,5692,57640
1985,15305,3721,4565,11870,10596,5369,5918,57345
1986,14794,3984,4654,12269,12965,5371,6140,60176
1987,14732,3928,4736,12476,12939,5399,6197,60406
1988,14644,4112,4674,12428,15095,5625,6263,62840
1989,14018,4167,4561,12131,16221,6214,6480,63792
1990,13823,4507,4668,11403,17242,6667,6712,65022
1991,14159,4749,4903,10319,16922,6912,6903,64865
1992,14032,4845,5206,9007,18714,7019,6882,65704
1993,13887,5044,5477,8062,19517,6955,6950,65892
1994,13806,5346,6378,7263,19997,6945,7142,66877
1995,13779,5779,6643,7168,20150,7050,7271,67841
1996,14045,6160,6953,7041,20514,7265,7502,69478
1997,14265,6495,6977,7238,21210,7466,7602,71253
1998,14182,6876,6942,7258,22696,7494,7570,73017
1999,13688,6654,7057,7425,21896,7300,7498,71518
2000,14072,6690,7045,7948,23292,7788,7883,74718
2001,14132,6814,6893,8595,22930,7745,7833,74943
2002,14228,6750,6861,9411,21213,7812,7869,74145
2003,14320,6705,6581,10356,23067,8485,7792,77305
2004,14310,7168,6284,11254,24711,9392,7859,80979
2005,13854,7337,5821,11687,25480,9777,7994,81952
2006,13873,7490,5396,12203,25800,10000,7949,82711
2007,13768,7335,5127,12697,25441,10226,7975,82570
2008,13290,7426,4884,12719,26515,10299,8100,83234
2009,13576,7387,4627,13141,24866,9923,8057,81578
2010,13975,7407,4277,13431,25634,10227,8458,83409
2011,14460,7450,3906,13496,28007,8520,8318,84157
2012,15697,7362,3593,13549,28487,9270,8407,86366
2013,17101,7397,3420,13786,28202,8607,8281,86794
2014,19004,7662,3444,13790,28499,8216,8295,88910
2015,19940,7758,3590,13918,30021,8129,8377,91733
2016,19460,7355,3618,14126,31819,7653,8043,92072
2017,20396,7161,3573,14255,31512,8109,7792,92798
2018,22929,6495,3532,14524,31848,8308,7617,95254
2019,24614,6174,3413,14614,30329,8399,7650,95192
